language,length,count_words,average_word_length,count_ones,count_zeros,ratio_ones,ratio_zeros,frequency_11,frequency_00,entropy,valeur
"['0010', '010001', '0']",11,3,3.6666666666666665,3,8,0.2727272727272727,0.7272727272727273,0,3,0.8453509366224364,0
"['11010', '0110011', '1110101', '01110', '1010111']",31,5,6.2,20,11,0.6451612903225806,0.3548387096774194,6,2,0.9383153522334068,1
"['0101101', '001110', '1', '1010', '0001000', '1100001']",32,6,5.333333333333333,14,18,0.4375,0.5625,4,6,0.9886994082884974,1
"['10', '101', '001011', '1101011', '11', '01', '10', '011110']",30,8,3.75,19,11,0.6333333333333333,0.3666666666666666,7,2,0.9480782435939056,0
"['1', '0011', '1', '0', '1000', '101001', '1', '0', '101']",22,9,2.4444444444444446,11,11,0.5,0.5,2,3,1.0,0
"['001', '11111']",8,2,4.0,6,2,0.75,0.25,3,1,0.8112781244591328,1
"['0', '010011', '001111', '1011110', '111111', '11111', '011']",34,7,4.857142857142857,25,9,0.7352941176470589,0.2647058823529412,11,3,0.833764907210665,0
"['1100111', '00010']",12,2,6.0,6,6,0.5,0.5,2,2,1.0,1
"['010', '0110001']",10,2,5.0,4,6,0.4,0.6,1,2,0.9709505944546686,1
"['010101', '01', '1', '001101']",15,4,3.75,8,7,0.5333333333333333,0.4666666666666667,2,1,0.9967916319816366,0
"['0011100', '011111', '000110', '1011', '11', '1']",26,6,4.333333333333333,16,10,0.6153846153846154,0.3846153846153846,6,3,0.961236604722876,0
"['010', '0100', '00', '10100', '010', '0001', '011010', '1010000', '01', '00100']",41,10,4.1,13,28,0.3170731707317073,0.6829268292682927,1,10,0.9011701959974224,0
['11'],2,1,2.0,2,0,1.0,0.0,1,0,-0.0,1
"['1010011', '000', '10001', '0110010', '1110100', '00001', '01010', '110']",42,8,5.25,18,24,0.4285714285714285,0.5714285714285714,4,7,0.9852281360342516,1
"['001010', '1', '1100', '0111110']",18,4,4.5,10,8,0.5555555555555556,0.4444444444444444,3,2,0.9910760598382222,1
"['000', '1', '011000', '000100', '1', '0001', '010']",24,7,3.4285714285714284,7,17,0.2916666666666667,0.7083333333333334,1,6,0.8708644692353644,0
"['110', '000010', '01', '1111101', '01001', '010', '0010111']",33,7,4.714285714285714,17,16,0.5151515151515151,0.4848484848484848,5,5,0.9993375041688848,0
"['1100100', '01101']",12,2,6.0,6,6,0.5,0.5,2,2,1.0,1
"['1', '1111000', '0000', '100100', '11']",20,5,4.0,9,11,0.45,0.55,3,5,0.9927744539878084,0
"['0101', '0', '010', '110000', '00', '1101101']",23,6,3.8333333333333335,10,13,0.4347826086956521,0.5652173913043478,3,4,0.9876925088958034,0
"['01001', '011110', '101000', '11111', '111', '1100']",29,6,4.833333333333333,18,11,0.6206896551724138,0.3793103448275862,7,3,0.9575534837147482,0
"['1010', '0100011', '100', '111011', '101000']",26,5,5.2,13,13,0.5,0.5,3,4,1.0,1
"['1', '0111', '010101', '110', '00001', '11', '1', '1110110', '1']",30,9,3.3333333333333335,19,11,0.6333333333333333,0.3666666666666666,6,2,0.9480782435939056,0
['11100'],5,1,5.0,3,2,0.6,0.4,1,1,0.9709505944546686,1
"['0101110', '11', '1001101']",16,3,5.333333333333333,10,6,0.625,0.375,3,1,0.954434002924965,1
"['10', '1001', '100001', '00011', '00011', '0', '00']",25,7,3.5714285714285716,9,16,0.36,0.64,3,6,0.9426831892554922,0
"['01', '011001', '1101', '11', '010']",17,5,3.4,10,7,0.5882352941176471,0.4117647058823529,3,1,0.9774178175281716,0
"['1110010', '111', '110', '101111', '0000000', '11']",28,6,4.666666666666667,16,12,0.5714285714285714,0.4285714285714285,6,4,0.9852281360342516,0
"['11', '1101', '001', '1101', '01', '11', '00', '01', '1011']",25,9,2.7777777777777777,16,9,0.64,0.36,6,2,0.9426831892554922,0
"['0', '100', '1']",5,3,1.6666666666666667,2,3,0.4,0.6,0,1,0.9709505944546686,0
"['0101000', '10011', '00']",14,3,4.666666666666667,5,9,0.3571428571428571,0.6428571428571429,1,3,0.9402859586706313,1
"['110', '0', '11010', '010', '101', '101010', '110', '000010', '011010']",36,9,4.0,17,19,0.4722222222222222,0.5277777777777778,5,5,0.997772472089982,0
"['0', '01', '1', '0010111', '11010', '000001', '00111', '111110', '10000', '101001']",44,10,4.4,22,22,0.5,0.5,7,9,1.0,0
"['10', '0', '1']",4,3,1.3333333333333333,2,2,0.5,0.5,0,1,1.0,0
"['111', '0', '000', '11101', '101011', '1110010', '01011', '1111']",34,8,4.25,22,12,0.6470588235294118,0.3529411764705882,8,4,0.9366673818775626,0
"['1', '0', '100100', '000', '100111']",17,5,3.4,7,10,0.4117647058823529,0.5882352941176471,1,4,0.9774178175281716,0
"['0111', '1100', '0000100']",15,3,5.0,6,9,0.4,0.6,2,4,0.9709505944546686,1
"['001', '01', '001', '101', '101', '000101', '110111']",26,7,3.7142857142857144,14,12,0.5384615384615384,0.4615384615384615,4,3,0.9957274520849256,1
"['11010', '1111']",9,2,4.5,7,2,0.7777777777777778,0.2222222222222222,3,0,0.7642045065086203,1
"['101001', '1011']",10,2,5.0,6,4,0.6,0.4,2,1,0.9709505944546686,1
"['00', '001', '011']",8,3,2.6666666666666665,3,5,0.375,0.625,1,2,0.954434002924965,1
"['00', '00', '1000110', '0000011', '0101001']",25,5,5.0,8,17,0.32,0.68,2,7,0.9043814577244936,1
"['10', '0001000', '1', '100100', '0']",17,5,3.4,5,12,0.2941176470588235,0.7058823529411765,1,5,0.8739810481273578,0
"['10', '1011010', '000', '0110', '0', '0111100', '0100']",28,7,4.0,12,16,0.4285714285714285,0.5714285714285714,4,5,0.9852281360342516,0
"['10101', '01000', '0111000']",17,3,5.666666666666667,7,10,0.4117647058823529,0.5882352941176471,1,3,0.9774178175281716,1
['0000'],4,1,4.0,0,4,0.0,1.0,0,2,-0.0,1
"['0', '10', '0001011', '0', '0001110']",18,5,3.6,7,11,0.3888888888888889,0.6111111111111112,2,4,0.964078764808229,1
"['110101', '101000', '0110111', '111', '00', '0', '01000']",30,7,4.285714285714286,15,15,0.5,0.5,6,5,1.0,0
"['011', '11001', '0111111']",15,3,5.0,11,4,0.7333333333333333,0.2666666666666666,5,1,0.8366407419411672,1
"['000101', '0']",7,2,3.5,2,5,0.2857142857142857,0.7142857142857143,0,1,0.863120568566631,1
"['11011', '0100010']",12,2,6.0,6,6,0.5,0.5,2,1,1.0,1
"['0', '0010101', '1', '0101']",13,4,3.25,6,7,0.4615384615384615,0.5384615384615384,1,1,0.9957274520849256,0
"['011', '00', '111101', '11', '1']",14,5,2.8,10,4,0.7142857142857143,0.2857142857142857,5,1,0.863120568566631,0
"['0', '1110']",5,2,2.5,3,2,0.6,0.4,1,0,0.9709505944546686,1
"['01', '0011110']",9,2,4.5,5,4,0.5555555555555556,0.4444444444444444,2,1,0.9910760598382222,1
"['0011010', '1', '0100', '1011', '000011', '01', '0001', '11011', '111']",36,9,4.0,19,17,0.5277777777777778,0.4722222222222222,6,5,0.997772472089982,0
"['00', '000011', '1111', '10001', '1111000', '1010', '0101', '0010', '1111101']",43,9,4.777777777777778,23,20,0.5348837209302325,0.4651162790697674,7,7,0.996485989886783,1
"['1110011', '00', '0']",10,3,3.3333333333333335,5,5,0.5,0.5,2,2,1.0,0
"['0', '111110', '01', '0', '000110']",16,5,3.2,8,8,0.5,0.5,3,3,1.0,1
"['100110', '11100', '0101', '10001', '11001']",25,5,5.0,13,12,0.52,0.48,4,4,0.9988455359952018,1
"['01100', '0000000', '101', '00100', '0101101', '10011']",32,6,5.333333333333333,12,20,0.375,0.625,4,7,0.954434002924965,1
"['1011', '11001', '11', '10110', '0011110', '00011', '00110', '00010', '11', '0']",41,10,4.1,22,19,0.5365853658536586,0.4634146341463415,10,7,0.9961344835095796,0
"['0011', '01001', '1', '0101010', '11011']",22,5,4.4,12,10,0.5454545454545454,0.4545454545454545,4,2,0.9940302114769564,1
"['001', '1111', '1', '01010']",13,4,3.25,8,5,0.6153846153846154,0.3846153846153846,3,1,0.961236604722876,0
"['0110', '11', '1', '01111', '1011001', '100', '1010011']",29,7,4.142857142857143,18,11,0.6206896551724138,0.3793103448275862,7,3,0.9575534837147482,0
"['0011', '10110', '1', '0010', '1010', '0100', '1001101', '1100', '00101', '11']",40,10,4.0,20,20,0.5,0.5,5,7,1.0,0
"['100000', '011', '10', '0111', '00010', '100100', '100000', '10', '1000001']",41,9,4.555555555555555,14,27,0.3414634146341463,0.6585365853658537,2,11,0.9262122127346664,1
"['1001000', '0']",8,2,4.0,2,6,0.25,0.75,0,3,0.8112781244591328,1
"['000000', '11', '0100', '000011', '0', '11001']",24,6,4.0,8,16,0.3333333333333333,0.6666666666666666,3,7,0.9182958340544896,0
"['0010101', '11', '1010101']",16,3,5.333333333333333,9,7,0.5625,0.4375,2,1,0.9886994082884974,1
"['0011111', '10011', '100', '1', '1101', '1110']",24,6,4.0,16,8,0.6666666666666666,0.3333333333333333,7,3,0.9182958340544896,0
"['11', '0', '0']",4,3,1.3333333333333333,2,2,0.5,0.5,1,1,1.0,1
"['00111', '0000', '1111', '011', '010', '00']",21,6,3.5,10,11,0.4761904761904761,0.5238095238095238,4,4,0.998363672593813,0
"['01000', '1010', '1001', '0010', '1011000', '0', '10001', '1', '100', '11']",36,10,3.6,15,21,0.4166666666666667,0.5833333333333334,3,7,0.9798687566511528,0
"['01', '11']",4,2,2.0,3,1,0.75,0.25,1,0,0.8112781244591328,1
"['111111', '0', '10', '1', '1', '1011111', '110', '10', '001', '01']",28,10,2.8,20,8,0.7142857142857143,0.2857142857142857,7,1,0.863120568566631,0
"['10', '0011111', '1000011', '11111', '10', '11', '1']",26,7,3.7142857142857144,18,8,0.6923076923076923,0.3076923076923077,8,3,0.8904916402194913,0
"['11', '0', '11', '011']",8,4,2.0,6,2,0.75,0.25,3,0,0.8112781244591328,0
"['10100', '101000', '10010', '0', '000000', '10', '10011', '0000', '110111']",40,9,4.444444444444445,15,25,0.375,0.625,3,10,0.954434002924965,0
['11'],2,1,2.0,2,0,1.0,0.0,1,0,-0.0,1
['011010'],6,1,6.0,3,3,0.5,0.5,1,0,1.0,1
"['000', '1110', '10', '011', '1', '1100001', '10111', '001']",28,8,3.5,15,13,0.5357142857142857,0.4642857142857143,5,5,0.996316519558962,0
"['0101', '0011', '111', '010']",14,4,3.5,8,6,0.5714285714285714,0.4285714285714285,2,1,0.9852281360342516,1
['001111'],6,1,6.0,4,2,0.6666666666666666,0.3333333333333333,2,1,0.9182958340544896,1
"['101', '11000', '11100']",13,3,4.333333333333333,7,6,0.5384615384615384,0.4615384615384615,2,2,0.9957274520849256,1
"['0001', '0010', '11', '1111011', '1100101', '110', '0000110', '01']",36,8,4.5,19,17,0.5277777777777778,0.4722222222222222,7,6,0.997772472089982,0
"['001000', '11', '1101100']",15,3,5.0,7,8,0.4666666666666667,0.5333333333333333,3,3,0.9967916319816366,1
"['101', '000', '001010', '1111', '0010', '01011']",25,6,4.166666666666667,12,13,0.48,0.52,3,4,0.9988455359952018,1
"['00', '0', '1111', '0', '1000111', '1011101', '101001', '0', '01']",31,9,3.4444444444444446,17,14,0.5483870967741935,0.4516129032258064,6,4,0.9932338197397066,0
"['0', '1', '0101110', '1', '111011']",16,5,3.2,11,5,0.6875,0.3125,4,0,0.8960382325345574,0
"['100', '1001001', '10', '0011100']",19,4,4.75,8,11,0.4210526315789473,0.5789473684210527,2,5,0.9819407868640976,1
"['01', '001']",5,2,2.5,2,3,0.4,0.6,0,1,0.9709505944546686,1
"['00', '01']",4,2,2.0,1,3,0.25,0.75,0,1,0.8112781244591328,1
"['00', '1011110', '100', '00']",14,4,3.5,6,8,0.4285714285714285,0.5714285714285714,2,3,0.9852281360342516,1
"['011100', '00', '01', '0', '10010', '01', '0010110', '0', '10010', '1110011']",38,10,3.8,17,21,0.4473684210526316,0.5526315789473685,4,8,0.9919924034538556,0
"['10111', '10010', '0010']",14,3,4.666666666666667,7,7,0.5,0.5,2,2,1.0,1
"['0', '110001', '101', '01', '1']",13,5,2.6,7,6,0.5384615384615384,0.4615384615384615,3,1,0.9957274520849256,0
"['0', '100', '0', '11101', '000']",13,5,2.6,5,8,0.3846153846153846,0.6153846153846154,1,2,0.961236604722876,0
"['1011101', '111111']",13,2,6.5,11,2,0.8461538461538461,0.1538461538461538,4,0,0.6193821946787638,1
"['11', '0110010', '011']",12,3,4.0,7,5,0.5833333333333334,0.4166666666666667,3,2,0.9798687566511528,1
"['00', '1101100', '0010', '1110100', '0110001', '1000', '0111', '010010', '110000']",47,9,5.222222222222222,20,27,0.425531914893617,0.574468085106383,7,10,0.9839393951635756,0
"['1100110', '10', '10011', '01', '101', '100011', '0101000', '0001', '10', '0']",39,10,3.9,18,21,0.4615384615384615,0.5384615384615384,7,7,0.9957274520849256,0
"['101', '0000000', '00000', '110011', '1111010']",28,5,5.6,11,17,0.3928571428571428,0.6071428571428571,4,7,0.9666186325481028,0
['10'],2,1,2.0,1,1,0.5,0.5,0,0,1.0,1
"['0101', '101']",7,2,3.5,4,3,0.5714285714285714,0.4285714285714285,1,0,0.9852281360342516,1
"['0000111', '101100', '101', '0000', '111', '0111', '100110', '0', '100110', '111011']",46,10,4.6,25,21,0.5434782608695652,0.4565217391304347,10,8,0.994538681650011,0
"['11', '000', '0001', '00', '101011']",17,5,3.4,7,10,0.4117647058823529,0.5882352941176471,2,4,0.9774178175281716,0
"['100111', '11', '110', '110']",14,4,3.5,10,4,0.7142857142857143,0.2857142857142857,4,1,0.863120568566631,1
"['110', '100000', '1', '1000', '11', '00100', '00110', '0']",27,8,3.375,10,17,0.3703703703703703,0.6296296296296297,4,7,0.9509560484549724,0
"['100', '0', '101100']",10,3,3.3333333333333335,4,6,0.4,0.6,1,2,0.9709505944546686,1
"['10', '1', '00010', '11', '1011']",14,5,2.8,8,6,0.5714285714285714,0.4285714285714285,2,1,0.9852281360342516,0
['1100'],4,1,4.0,2,2,0.5,0.5,1,1,1.0,1
"['0010', '1100', '111001', '1100', '00']",20,5,4.0,9,11,0.45,0.55,3,5,0.9927744539878084,1
"['11100', '110100', '00', '0001', '0']",18,5,3.6,7,11,0.3888888888888889,0.6111111111111112,2,4,0.964078764808229,0
['110101'],6,1,6.0,4,2,0.6666666666666666,0.3333333333333333,1,0,0.9182958340544896,1
"['11101', '000010', '0', '1010100', '10', '100000', '100110', '0101']",37,8,4.625,15,22,0.4054054054054054,0.5945945945945946,2,8,0.974024864435752,0
"['0011110', '110011', '1010111', '10', '011100', '0111111']",35,6,5.833333333333333,23,12,0.6571428571428571,0.3428571428571428,10,4,0.927526588431676,1
"['111', '11110', '1010', '00']",14,4,3.5,9,5,0.6428571428571429,0.3571428571428571,3,1,0.9402859586706313,1
"['01', '1000100', '0011001', '1010110']",23,4,5.75,10,13,0.4347826086956521,0.5652173913043478,4,4,0.9876925088958034,1
['0'],1,1,1.0,0,1,0.0,1.0,0,0,-0.0,1
"['010001', '1', '1', '0', '111']",12,5,2.4,7,5,0.5833333333333334,0.4166666666666667,2,1,0.9798687566511528,0
"['00', '01', '0110101', '0100', '0', '10100']",21,6,3.5,8,13,0.3809523809523809,0.6190476190476191,1,3,0.9587118829771318,0
"['0101', '1010', '1010111', '00', '0110', '001', '00']",26,7,3.7142857142857144,12,14,0.4615384615384615,0.5384615384615384,3,3,0.9957274520849256,1
"['11011', '0111', '1', '01011', '1']",16,5,3.2,12,4,0.75,0.25,5,0,0.8112781244591328,0
"['01000', '111010', '0', '10110', '111', '0011011']",27,6,4.5,15,12,0.5555555555555556,0.4444444444444444,5,3,0.9910760598382222,0
"['000000', '1', '10000', '01010', '11000', '101', '0100001', '0001', '0000110']",43,9,4.777777777777778,13,30,0.3023255813953488,0.6976744186046512,3,11,0.8841151220488479,0
